EID,FID,sex,LAG1EID,LAG1SEX,COUNTLAG1,PERCENT,LAG2EID,COUNTLAG2,LAG3EID,COUNTLAG3,LAG4EID,COUNTLAG4,LAG5EID,COUNTLAG5,LAG6EID,COUNTLAG6,LEAD1EID,LEAD1SEX,COUNTLEAD1,LEAD2EID,COUNTLEAD2,LEAD3EID,COUNTLEAD3,LEAD4EID,COUNTLEAD4,LEAD5EID,COUNTLEAD5,LEAD6EID,COUNTLEAD6,LAG1MOTHER,DamCalfEID,FinalCount,DamCalfSEX
951 000014062257,,,951 000014061969,,3,,,2,,,,2,,2,982 000114912685,2,,male,2,982 000085268425,2,982 000085268026,2,,2,,2,,3,,951 000014061969,3,
982 125002321907,,,982 000085268425,female,69,,,,,68,,80,,66,,72,,male,58,982 125002321907,111,,67,,79,,84,,98,982 000085268032,982 000085268425,69,female
982 123460159347,,,982 000114912343,female,2,15.384615385,982 000136093434,3,982 000085268428,2,982 123460159212,5,982 000085268425,1,982 000114912343,2,982 000085268425,female,3,,,982 000085268452,2,982 000085268032,2,982 000154811767,2,982 000085268368,2,982 000114912246,982 000085268425,3,female
982 125002322066,,,982 000085268452,female,11,11.764705882,,,982 000114111558,9,,12,,9,,13,982 000085268452,female,9,982 125002322066,14,,10,,8,,10,982 125002322066,8,982 000085268425,982 000085268452,11,female
982 125002321831,,,982 000085268462,female,95,,,,,78,,74,,89,,68,982 000085268462,female,72,982 125002321831,80,,74,,85,,80,,72,982 000085268452,982 000085268462,95,female
982 000101064676,,,982 000085268032,female,1,25,,1,,,,1,,2,,2,982 000101043299,,2,982 000101042958,1,982 000101064676,2,,1,982 125002321913,2,982 000101064676,1,951 000014061969,982 000101043299,2,
982 000101043299,,,982 000101064676,,2,,982 000085268032,1,,1,,,,1,,1,982 000101042958,,1,,1,982 000101064676,1,982 000101043299,1,982 000101064676,1,,1,982 000085268462,982 000101064676,2,
982 123459910852,,,982 000114110840,female,21,29.508196721,,,982 000114110840,19,982 123459910852,19,982 000114110840,18,982 123459910852,18,982 000114110840,female,21,982 123459910852,25,982 000114110840,20,982 123459910852,19,982 000114110840,19,982 123459910852,18,982 000101064676,982 000114110840,21,female
982 125002321804,,,982 000114111016,female,17,,,,,6,,10,,16,,7,982 000114111016,female,9,,9,,7,,9,,8,,9,982 000114110840,982 000114111016,17,female
982 125002322074,,,982 000114111526,female,17,,,8,,,,11,,9,,9,,male,4,,6,982 125002321801,6,,6,,15,,9,982 000114111016,982 000114111526,17,female
982 125002105772,,,982 000114912246,female,4,,,,,3,,3,982 000114912246,2,,3,,male,2,,3,,3,982 000114111269,2,,2,,2,982 000114111526,982 000114912246,4,female
982 125002106113,,,982 000114912673,female,92,26.990291262,,,,61,982 125002106113,168,,66,982 125002106113,139,982 000114912673,female,63,982 125002106113,226,,62,982 125002106113,168,,55,982 125002106113,139,982 000114912343,982 000114912673,92,female
982 125002105791,,,982 000114912685,female,6,,,3,,5,,4,982 000114110885,3,,6,982 000114110885,female,4,,,,4,982 000150375874,3,,4,,5,982 000114912673,982 000114912685,6,female
982 125002105764,,,982 000115071279,female,12,,,,,16,982 125002105764,21,,10,982 125002105764,15,,male,11,982 125002105764,37,,12,982 125002105764,21,,11,,20,982 000114912685,982 000115071279,12,female
982 125002321801,,,982 000136093434,female,14,17.692307692,,,,14,982 125002321801,30,,15,,23,982 000136093434,female,15,982 125002321801,39,982 000136093434,12,982 125002321801,30,,18,982 125002321801,23,982 000115071279,982 000136093434,15,female
